M,k,model,seed,net_loss,net_loss_std,cash,ent_total,kl_track,l1_track,incons,n_subtrades,support_size
2,2,APMM,0,-2.567895,10.781464,71.102341,4.255262,0.020313,0.139823,,34,3
2,2,ind,0,-7.228056,12.363474,79.370767,6.547034,0.024805,0.152580,,34,3
2,2,base,0,-0.835269,5.099942,44.112012,1.192799,0.017745,0.130616,,27,3
2,2,APMM,1,-0.236640,11.587122,72.289908,5.406837,0.025017,0.157950,,32,3
2,2,ind,1,-1.391924,13.648337,82.104187,4.662803,0.034213,0.173640,,32,3
2,2,base,1,1.277898,4.486777,41.301555,1.096556,0.018630,0.139926,,26,3
2,2,APMM,2,2.771286,7.672908,74.647067,6.757684,0.016876,0.127699,,38,3
2,2,ind,2,6.027541,15.190505,79.893083,6.757684,0.021268,0.144604,,38,3
2,2,base,2,3.038432,7.552172,37.621299,3.352237,0.008927,0.096721,,29,3
2,2,APMM,3,1.524204,5.168589,81.229907,2.091372,0.023045,0.138426,,32,3
2,2,ind,3,1.064600,8.832163,100.396850,2.091372,0.044282,0.177815,,32,3
2,2,base,3,0.742818,4.025254,54.127486,0.864696,0.019911,0.135296,,26,3
2,2,APMM,4,-0.382815,5.015707,58.521980,1.319456,0.013555,0.106311,,44,3
2,2,ind,4,-0.243272,6.679464,58.786419,1.319456,0.015588,0.113485,,44,3
2,2,base,4,0.323283,2.384349,26.205158,0.287790,0.009753,0.078489,,32,3
2,2,APMM,5,-2.829664,12.255894,84.224761,3.537190,0.021668,0.145825,,38,3
2,2,ind,5,-2.696882,14.354848,85.597006,3.537190,0.029347,0.172316,,38,3
2,2,base,5,0.562632,3.182332,49.126113,0.538949,0.023422,0.149691,,29,3
2,2,APMM,6,0.030273,5.006793,57.329833,1.637536,0.018494,0.135856,,34,3
2,2,ind,6,0.673749,7.708613,62.493102,1.637536,0.022912,0.149365,,34,3
2,2,base,6,0.629692,3.231988,38.093675,0.558427,0.017802,0.126488,,27,3
2,2,APMM,7,2.260315,8.608706,50.204333,6.043855,0.010473,0.101584,,32,3
2,2,ind,7,4.782570,14.763878,62.924828,6.043855,0.015786,0.122955,,32,3
2,2,base,7,2.730929,6.564787,36.000976,2.656529,0.010440,0.101064,,26,3
2,2,APMM,8,5.854160,5.782961,70.618359,10.853989,0.025219,0.166079,,28,3
2,2,ind,8,7.717646,6.721923,89.454099,5.792653,0.039618,0.195488,,28,3
2,2,base,8,5.547954,5.756754,55.024082,5.419251,0.021442,0.148251,,24,3
2,2,APMM,9,-0.459404,3.641753,51.367310,0.663171,0.026435,0.165322,,26,3
2,2,ind,9,-0.420628,4.068824,56.869121,0.638437,0.031090,0.181866,,26,3
2,2,base,9,0.083980,1.029145,43.520041,0.053497,0.025098,0.162047,,23,3
2,2,APMM,10,4.454380,8.510792,84.895829,8.234392,0.026071,0.152579,,32,3
2,2,ind,10,7.284443,16.504016,109.856325,9.968380,0.033216,0.163791,,32,3
2,2,base,10,4.480016,6.875100,51.587864,4.226990,0.018882,0.118319,,26,3
2,2,APMM,11,9.367913,9.326149,114.724043,17.807089,0.020573,0.134965,,40,3
2,2,ind,11,17.632790,18.390415,143.075494,17.807089,0.033110,0.173553,,40,3
2,2,base,11,8.840089,9.077312,70.926333,8.880682,0.018969,0.131126,,30,3
2,2,APMM,12,3.250999,6.855408,88.415942,8.136829,0.019158,0.132399,,34,3
2,2,ind,12,8.155201,13.379167,101.411898,8.136829,0.049554,0.191239,,34,3
2,2,base,12,4.110179,6.561629,59.484195,4.043413,0.019641,0.134631,,27,3
2,2,APMM,13,2.467456,12.014590,71.103334,8.351409,0.016483,0.109488,,38,3
2,2,ind,13,3.474271,20.308473,84.736649,9.947937,0.024007,0.134904,,38,3
2,2,base,13,2.860683,8.106671,39.958638,3.898745,0.015241,0.103744,,29,3
2,2,APMM,14,-0.234555,9.867021,68.189634,3.607868,0.031161,0.155313,,34,3
2,2,ind,14,-0.844453,12.731096,75.088800,3.607868,0.037074,0.169706,,34,3
2,2,base,14,0.893257,3.899096,39.841368,0.841665,0.024283,0.138364,,27,3
2,2,APMM,15,1.413935,5.609792,61.418422,3.121334,0.019211,0.145236,,30,3
2,2,ind,15,2.566831,9.668521,66.088230,2.737300,0.032548,0.173821,,30,3
2,2,base,15,1.404617,5.352460,40.601606,1.556309,0.015840,0.135668,,25,3
2,2,APMM,16,6.091091,9.294461,132.954774,12.513044,0.027540,0.145723,,34,3
2,2,ind,16,11.568850,15.045962,140.439870,11.638790,0.061213,0.219510,,34,3
2,2,base,16,5.972183,7.230039,84.765389,6.081175,0.028085,0.155274,,27,3
2,2,APMM,17,8.850843,8.224795,107.901937,17.248660,0.015473,0.095387,,36,3
2,2,ind,17,17.943511,16.142192,136.815053,17.248660,0.031364,0.134514,,36,3
2,2,base,17,8.981788,7.958689,77.220546,8.573166,0.017427,0.106138,,28,3
2,2,APMM,18,12.422943,15.155994,94.880103,13.639402,0.042483,0.178072,,36,3
2,2,ind,18,10.068802,20.817504,118.412045,11.675445,0.061831,0.210073,,36,3
2,2,base,18,6.124898,8.046584,62.523723,5.038997,0.035525,0.164208,,28,3
2,2,APMM,19,3.994070,7.960773,69.050012,8.523441,0.017186,0.115470,,32,3
2,2,ind,19,7.784454,14.726067,84.683551,8.523441,0.027232,0.147527,,32,3
2,2,base,19,4.019299,6.904289,42.009596,4.167501,0.015167,0.106075,,26,3
2,2,APMM,20,7.598428,7.497869,88.387872,15.590614,0.015913,0.102546,,32,3
2,2,ind,20,14.456121,10.765375,110.790175,13.208701,0.023393,0.130810,,32,3
2,2,base,20,7.607484,6.579455,64.826275,7.623481,0.016290,0.103015,,26,3
2,2,APMM,21,2.671627,7.048311,57.807186,5.599072,0.016069,0.122087,,36,3
2,2,ind,21,4.303324,10.663759,64.311368,4.180367,0.021602,0.133610,,36,3
2,2,base,21,2.767869,6.839685,33.987791,2.864127,0.012679,0.099548,,28,3
2,2,APMM,22,-2.662991,8.760874,79.083265,2.754601,0.027307,0.184908,,26,3
2,2,ind,22,-2.194713,9.961534,86.941702,2.754601,0.034342,0.198436,,26,3
2,2,base,22,0.320744,2.258759,56.041093,0.265747,0.026546,0.183646,,23,3
2,2,APMM,23,6.032623,10.988327,89.240992,13.665220,0.025371,0.161952,,34,3
2,2,ind,23,12.283771,20.170612,110.408785,13.665220,0.039612,0.196296,,34,3
2,2,base,23,6.390023,9.357548,60.900040,6.550688,0.022937,0.156847,,27,3
2,2,APMM,24,-3.395060,11.044010,106.501308,3.307051,0.020733,0.147581,,42,3
2,2,ind,24,-2.661817,12.986034,100.438568,3.307051,0.030258,0.178277,,42,3
2,2,base,24,0.514220,3.030790,50.450515,0.483462,0.017753,0.138507,,31,3
2,2,APMM,25,6.565331,9.225666,84.051054,12.885593,0.027488,0.167914,,30,3
2,2,ind,25,13.210777,18.066901,106.923946,12.885593,0.048260,0.212253,,30,3
2,2,base,25,6.646582,8.870462,61.697682,6.399071,0.024330,0.156287,,25,3
2,2,APMM,26,-0.217202,6.885658,90.445317,2.203146,0.020122,0.145088,,44,3
2,2,ind,26,0.366103,9.998520,84.934556,2.234945,0.026421,0.169883,,44,3
2,2,base,26,0.789389,3.167270,42.527687,0.545890,0.015723,0.122296,,32,3
2,2,APMM,27,5.103241,10.171996,80.481392,12.134615,0.020356,0.135573,,34,3
2,2,ind,27,12.295105,19.067002,96.558136,12.767970,0.030712,0.162728,,34,3
2,2,base,27,6.490734,8.332460,55.157190,5.765658,0.017606,0.127608,,27,3
2,2,APMM,28,0.415800,3.266767,43.054963,0.723255,0.022983,0.170076,,24,3
2,2,ind,28,-0.595034,2.260192,48.828511,0.669106,0.026352,0.179449,,24,3
2,2,base,28,0.223875,1.980811,39.052160,0.197060,0.023785,0.171745,,22,3
2,2,APMM,29,8.671043,7.025377,74.036663,16.808752,0.017159,0.125981,,28,3
2,2,ind,29,13.938404,8.950663,79.441253,10.241347,0.023150,0.144287,,28,3
2,2,base,29,8.805716,7.280612,59.159112,8.503339,0.015057,0.119479,,24,3
2,2,APMM,30,4.610610,10.042302,82.569467,11.624473,0.016058,0.100200,,30,3
2,2,ind,30,9.220731,21.378396,113.113959,14.075347,0.037122,0.141407,,30,3
2,2,base,30,5.143423,9.256897,64.062563,5.903225,0.018367,0.113421,,25,3
2,2,APMM,31,-6.844566,19.303209,78.866609,7.720278,0.016868,0.126825,,36,3
2,2,ind,31,-6.343733,22.644425,84.463112,7.720278,0.019831,0.133801,,36,3
2,2,base,31,1.467264,5.013499,35.009711,1.364992,0.011883,0.107766,,28,3
2,2,APMM,32,-0.956302,8.569676,60.354176,2.656462,0.021198,0.148197,,30,3
2,2,ind,32,-1.958017,11.954622,69.369856,3.266689,0.030897,0.173846,,30,3
2,2,base,32,0.390003,3.451272,43.752203,0.603401,0.023572,0.159301,,25,3
2,2,APMM,33,2.960760,9.007676,70.269606,6.149498,0.026186,0.161086,,30,3
2,2,ind,33,4.217475,12.383462,86.245092,4.679892,0.039891,0.198018,,30,3
2,2,base,33,2.686355,6.249838,48.585240,2.552518,0.023053,0.153504,,25,3
2,2,APMM,34,3.565131,7.733881,70.145283,7.352834,0.033790,0.199732,,26,3
2,2,ind,34,2.997133,8.381236,68.500657,4.620271,0.040598,0.215923,,26,3
2,2,base,34,3.502915,7.731833,57.203434,3.675584,0.031175,0.191551,,23,3
2,2,APMM,35,6.370737,7.812522,83.388054,11.490666,0.018614,0.132942,,34,3
2,2,ind,35,11.272431,15.617015,99.413344,11.490666,0.034974,0.186741,,34,3
2,2,base,35,5.636985,7.804883,55.272192,5.745061,0.017499,0.132749,,27,3
2,2,APMM,36,6.076725,8.231693,110.348507,8.082681,0.022920,0.141782,,42,3
2,2,ind,36,7.771152,16.005525,114.016453,8.082681,0.031861,0.169946,,42,3
2,2,base,36,3.940839,7.854327,58.100749,3.966253,0.020536,0.135589,,31,3
2,2,APMM,37,6.309983,17.071940,79.180956,13.194190,0.038338,0.192045,,28,3
2,2,ind,37,7.404537,23.102392,92.453186,11.864194,0.051937,0.220036,,28,3
2,2,base,37,5.483029,7.947490,55.453576,4.701699,0.032707,0.181124,,24,3
2,2,APMM,38,4.589284,8.653996,67.331018,9.813434,0.018977,0.140111,,32,3
2,2,ind,38,9.059789,14.391929,82.509761,7.976271,0.032588,0.181382,,32,3
2,2,base,38,4.816391,8.578421,50.830092,5.042957,0.021010,0.150347,,26,3
2,2,APMM,39,6.420734,7.480100,102.206251,12.564365,0.028898,0.172959,,32,3
2,2,ind,39,12.079733,13.232266,125.198981,12.059586,0.041087,0.202031,,32,3
2,2,base,39,6.118295,6.566147,72.887885,6.210898,0.027291,0.162842,,26,3
3,2,APMM,0,-1.753955,10.296352,112.301683,4.602298,0.022804,0.151265,,56,6
3,2,ind,0,-2.134298,14.225155,115.373040,5.060343,0.026878,0.163267,,56,6
3,2,base,0,0.745168,2.254893,59.221708,0.279299,0.017162,0.125290,,43,6
3,2,APMM,1,-6.419555,15.609594,119.862007,9.191678,0.024236,0.155045,,50,6
3,2,ind,1,-8.737858,27.337044,152.239821,14.197163,0.039694,0.184770,,50,6
3,2,base,1,0.890204,4.487828,73.286396,1.035376,0.020404,0.142571,,40,6
3,2,APMM,2,0.139939,11.274365,103.697987,8.123300,0.022298,0.142731,,50,6
3,2,ind,2,0.042680,19.948135,154.141667,7.985798,0.053867,0.190081,,50,6
3,2,base,2,1.710450,5.653687,73.804841,1.756199,0.022650,0.142537,,40,6
3,2,APMM,3,4.231312,12.744067,130.509496,14.668631,0.017754,0.115094,,70,6
3,2,ind,3,9.118881,26.494200,158.963111,14.092328,0.027650,0.142013,,70,6
3,2,base,3,4.152431,8.319727,60.891106,4.335667,0.012298,0.090728,,50,6
3,2,APMM,4,2.083720,13.197137,107.302393,13.079357,0.014533,0.108214,,66,6
3,2,ind,4,7.017056,26.966138,133.009359,13.972805,0.023583,0.135034,,66,6
3,2,base,4,4.037598,7.405788,46.212993,3.601723,0.007911,0.077430,,48,6
3,2,APMM,5,3.740694,12.265483,127.305685,13.976796,0.023822,0.148194,,56,6
3,2,ind,5,8.553749,29.040594,197.619487,16.726448,0.054812,0.208563,,56,6
3,2,base,5,4.333509,7.969979,80.844214,4.021320,0.022199,0.140008,,43,6
3,2,APMM,6,8.370761,8.872039,129.786481,19.679391,0.022493,0.155583,,56,6
3,2,ind,6,19.536174,27.006323,199.960759,20.230066,0.058002,0.217860,,56,6
3,2,base,6,6.538030,8.796104,81.949974,6.557589,0.019460,0.140772,,43,6
3,2,APMM,7,2.081490,15.519228,143.028230,22.021195,0.016076,0.114753,,60,6
