M,k,model,support_size,net_loss_mean,net_loss_std,net_loss_ci95,kl_track_mean,incons_mean
2,2,APMM,3,3.048221,4.048790,1.254733,0.022294,
2,2,ind,3,5.376083,6.465897,2.003802,0.033374,
2,2,base,3,3.538287,2.791813,0.865192,0.020051,
3,2,APMM,6,2.603640,6.100834,1.890668,0.020063,
3,2,ind,6,7.769778,13.055684,4.045998,0.035508,
3,2,base,6,4.341661,3.847843,1.192459,0.015944,
4,2,APMM,10,3.960733,9.207470,2.853425,0.018700,
4,2,ind,10,15.740485,22.190949,6.877046,0.037730,
4,2,base,10,6.557779,4.856237,1.504963,0.013080,
5,3,APMM,23,1.329854,12.028755,3.727750,0.013600,
5,3,ind,23,22.978852,54.955885,17.031005,0.039752,
5,3,base,23,6.535857,6.266869,1.942123,0.008034,
6,3,APMM,28,-2.229923,10.814547,3.351463,0.013501,
6,3,ind,28,12.059128,41.551111,12.876823,0.038985,
6,3,base,28,6.163794,4.843975,1.501163,0.007946,
7,3,APMM,32,-7.072240,15.299446,4.741347,0.013624,
7,3,ind,32,16.664832,50.497304,15.649277,0.039935,
7,3,base,32,7.182025,4.433366,1.373914,0.008237,
8,3,APMM,37,-1.569967,11.223016,3.478049,0.012368,
8,3,ind,37,37.763971,66.754287,20.687368,0.040086,
8,3,base,37,8.995261,6.108942,1.893181,0.007593,
9,3,APMM,41,-7.343651,15.652779,4.850847,0.013331,
9,3,ind,41,17.047988,75.174320,23.296763,0.041450,
9,3,base,41,7.885273,6.640134,2.057799,0.007997,
10,4,APMM,59,-4.618244,14.253877,4.417322,0.009545,
10,4,ind,59,61.722806,160.498392,49.738967,0.049844,
10,4,base,59,9.783190,6.762237,2.095639,0.005516,
11,4,APMM,65,-9.225269,12.570514,3.895643,0.009821,
11,4,ind,65,60.716065,164.779827,51.065797,0.049806,
11,4,base,65,9.677935,5.943639,1.841953,0.006010,
12,4,APMM,70,-8.908591,21.531413,6.672654,0.009226,
12,4,ind,70,118.926465,262.059818,81.213179,0.050482,
12,4,base,70,11.683112,10.314106,3.196375,0.005445,
13,4,APMM,77,-14.955258,19.143761,5.932713,0.008855,
13,4,ind,77,132.569521,193.711913,60.031944,0.048561,
13,4,base,77,12.116566,8.396412,2.602075,0.005030,
14,4,APMM,82,-4.721407,34.304248,10.630997,0.009089,
14,4,ind,82,208.577569,344.583868,106.787647,0.055120,
14,4,base,82,16.549168,15.027273,4.657000,0.005839,
15,4,APMM,88,-9.789219,25.906921,8.028638,0.008525,
15,4,ind,88,211.806206,355.115282,110.051366,0.051548,
15,4,base,88,15.774530,12.632615,3.914888,0.005278,
16,4,APMM,94,-17.188276,23.113672,7.163001,0.009076,
16,4,ind,94,170.460082,200.731360,62.207293,0.050018,
16,4,base,94,14.512031,8.963870,2.777932,0.005342,
17,5,APMM,117,-20.196769,19.994378,6.196322,0.006159,
17,5,ind,117,354.897278,507.904457,157.401222,0.060466,
17,5,base,117,14.210236,8.989248,2.785797,0.003936,
18,5,APMM,124,-20.885088,18.842106,5.839229,0.006004,
18,5,ind,124,366.676802,456.233473,141.388218,0.059630,
18,5,base,124,15.018272,8.314524,2.576698,0.004030,
19,5,APMM,130,-22.956020,28.347879,8.785099,0.005816,
19,5,ind,130,457.121047,606.218424,187.869036,0.057060,
19,5,base,130,17.057315,12.460262,3.861475,0.003822,
20,5,APMM,138,-31.794543,20.830989,6.455590,0.005790,
20,5,ind,138,329.870498,519.635671,161.036763,0.054594,
20,5,base,138,15.006711,9.394743,2.911461,0.003834,
